00694_02816	Appeal_to_Authority	0	18
00694_02816	Exaggeration,Minimisation	55	68
00694_02816	Loaded_Language	69	107
00694_02816	Exaggeration,Minimisation	132	142
00694_02816	Exaggeration,Minimisation	149	169
00694_02816	Exaggeration,Minimisation	176	185
00694_02816	Thought-terminating_Cliches	223	255
00694_02816	Loaded_Language	304	317
00694_02816	Loaded_Language	326	358
00694_02816	Loaded_Language	374	398
00694_02816	Loaded_Language	428	453
00694_02816	Name_Calling,Labeling	617	637
00694_02816	Red_Herring	639	679
00694_02816	Loaded_Language	686	700
00694_02816	Loaded_Language	701	707
00694_02816	Loaded_Language	788	824
00694_02816	Loaded_Language	840	877
00694_02816	Causal_Oversimplification	1022	1052
00694_02816	Loaded_Language	1151	1163
00694_02816	Loaded_Language	1187	1209
00694_02816	Exaggeration,Minimisation	1320	1337
00694_02816	Loaded_Language	1340	1360
00694_02816	Loaded_Language	1366	1386
00694_02816	Loaded_Language	1388	1423
00694_02816	Exaggeration,Minimisation	1473	1493
00694_02816	Causal_Oversimplification	1666	1692
00694_02816	Repetition	1559	1574
00694_02816	Causal_Oversimplification	1495	1547
00694_02816	Exaggeration,Minimisation	1592	1601
00694_02816	Slogans	1779	1792
00694_02816	Loaded_Language	1817	1856
00694_02816	Loaded_Language	1903	1926
00694_02816	Name_Calling,Labeling	2002	2020
00694_02816	Slogans	2127	2143
00694_02816	Loaded_Language	2127	2147
00694_02816	Loaded_Language	2211	2224
00694_02816	Loaded_Language	2312	2323
00694_02816	Name_Calling,Labeling	2282	2301
00694_02816	Thought-terminating_Cliches	2269	2280
00694_02816	Exaggeration,Minimisation	2061	2087
00694_02816	Loaded_Language	2468	2494
00694_02816	Loaded_Language	2499	2514
00694_02816	Exaggeration,Minimisation	2544	2561
00694_02816	Loaded_Language	2651	2663
00694_02816	Loaded_Language	2671	2688
00694_02816	Name_Calling,Labeling	2704	2716
00694_02816	Loaded_Language	2752	2759
00694_02816	Flag-Waving	2870	2893
00694_02816	Appeal_to_fear-prejudice	2895	2937
00694_02816	Thought-terminating_Cliches	2939	2957
00694_02816	Red_Herring	1592	1665
00694_02816	Exaggeration,Minimisation	1964	2000
00694_02816	Appeal_to_fear-prejudice	2330	2355
00694_02816	Loaded_Language	2455	2463
00694_02816	Exaggeration,Minimisation	257	275
00694_02816	Loaded_Language	2690	2703
00694_02816	Loaded_Language	2817	2841
00694_02816	Exaggeration,Minimisation	2422	2432
